Heading,Div Text
Customer Reviews,"Not Verified |  Another case of reviewing British Airways flights that they have not actually provided. I booked several months ago for London to Casablanca via Madrid (with the Madrid to Casablanca leg on Iberia), returning from Marrakech direct on BA. First the Marrakech flight was cancelled, so I had to rebook on Royal Air Maroc. Now BA has changed the London to Madrid leg to be operated by Iberia. So, instead of my booking through ba.com having 2 out of 3 legs operated by BA, I now have none of them being BA flights - and they did not transfer my paid-for seat selection on London to Madrid, so I have got to arrange a refund of the payment. What is the point of an airline offering a service and taking your money for that service, only to decide later that they cannot be bothered to provide what you have paid for in good faith? Only giving 1 out of 10 because I cannot mark it as zero to reflect the zero service received."
"""flights they have not actually provided""","✅ Trip Verified | On the memorable day of January 9th, my family and I embarked on a journey from London Heathrow, Terminal 5, destined for Glasgow. Little did we anticipate the series of events that would unfold, shaping our travel experience into a tale of exceptional service and unwavering dedication. As we navigated the bustling corridors of the airport, our journey encountered an unexpected hurdle. It was at this juncture that I found myself grappling with booking complications, compounded by banking delays. Amid this quandary, I sought assistance from British Airways personnel at Terminal 5, hoping to salvage our travel plans. Enter Mr. Sathies, a beacon of hope amidst the chaos. With a demeanour exuding empathy and professionalism, Mr. Sathies swiftly assessed the situation at hand. Despite the setback, he wasted no time in springing into action, exploring every avenue to mitigate the impact of the unforeseen challenges we faced. The sequence of events unfolded with remarkable clarity as Mr Sathies tirelessly liaised with various stakeholders, including senior colleagues and his managerial counterpart, Mr Gurvir Singh Dhillon. Their collaborative efforts culminated in a solution that exceeded all expectations. Through Mr. Sathies' unwavering dedication and Mr. Gurvir Singh Dhillon's steadfast support, our travel arrangements were salvaged without incurring any additional costs. Despite the initial uncertainty, my family and I were able to proceed with our journey, embarking on our flight to Glasgow with a renewed sense of gratitude and appreciation for the exceptional service rendered by British Airways. As I reflect upon the precise sequence of events that transpired on that fateful day, I am filled with profound gratitude towards Mr. Sathies, Mr. Gurvir Singh Dhillon, and the entire British Airways team. Their meticulous attention to detail and unwavering commitment to customer satisfaction reaffirmed my faith in British Airways as a paragon of excellence within the aviation industry."
“meticulous attention to detail”,"Not Verified | I did not actually get to fly with BA as they cancelled the flight with 3 days notice and refused to offer an acceptable alternative, resulting in 2 people losing their holiday (a river cruise). Since then, as appears to be their standard protocol, they have ignored every communication regarding their obligations for compensation and I have no option but to pursue them via official channels."
“they have ignored every communication”,"✅ Trip Verified | We had possibly the worse check-in experience ever this ever. It took nearly 50 minutes of phone calls and numerous staff to check us in for a redemption flight through our account. Utterly bizarre situation for a procedure we’ve done without hitch for the last 20 years. Once onboard we were so disappointed to have the old style Club World seats that meaning stepping over your fellow passengers to use the toilets. Why on earth are these still in use they feel so dated. The saving grace, as is quite often the case, was some fabulous cabin crew that were amazing. I have fed back to BA direct to sing their praises. Fingers crossed for the return leg."
"""fabulous cabin crew""","✅ Trip Verified |  I flew to LHR from ATH in Club Europe with BA641 on Dec 31 to transfer to a JAL flight back to Tokyo. At first, I had no great expectations of what services I would enjoy on board, partly because its flight time was less than 4 hours and because the seat configuration of Club Europe was the typical European Business Class with the middle seat empty. Afterward, on board, remembering that I took the same route with BA more than 30 years ago, I got to feel relaxed by their unobtrusive and courteous services. When I asked for a champagne refill a couple of times, a benign smile would come to me."
"""no great expectations""","✅ Trip Verified |  I like the British Airways World Traveller Plus product. The seats are comfy and the food is good. The crew on this flight were very attentive and friendly especially the CSM who came round and introduced herself to us and made sure we were comfortable. The bars closed half way through the flight to Cancun as they can’t uplift more alcoholic drinks in Cancun. Juice, water, tea and coffee is available. Very full flight. My only criticisms of British Airways Premium Economy is that it feels like they actively try and split families up unless they pay the £100 each to pre book seats. The majority of drinks are served in plastic not glass. There were no inflight snacks available on an 11 hour flight. It’s an upgraded version of Economy, where as other airlines like Qantas and Singapore Airlines are Business minus. Still worth the extra though."
"""actively try and split families up""","✅ Trip Verified |  I have come to boarding and my cabin luggage was taken, ""because the plane is full"". I asked to take it to the cabin, because I have large notebook and  electronics in it, but nothing changes. So, now I am sitting in the plane, holding notebook and several packs from my luggage, and think of how I will stand with all this stuff in my hands in a passport control line in Warsaw. Other people around me have come to the plane with cabin luggage!"
"""my cabin luggage was taken""","✅ Trip Verified | Stinking nappies being changed in business cabin throughout flight to Miami. Four of us from one family were travelling British Airways business. I am a British Airways gold card member. I have been a member of British Airways Executive Club since 1979. We only ever fly British Airways, in first class or business class. It has become a habit to fly BA and we do this because we trust them for safety. We have regular long haul flights booked with British Airways in both first and business into next year. We often fly to the USA. Both my wife and I used to have Virgin Atlantic gold cards however we sadly returned to BA because Virgin did not have a first class seat product. Even so the service from virgin’s gold card department was off the scale, absolutely brilliant and we loved the Virgin lounge at Heathrow. Our flight to Miami with British Airways was on one of their double decker aircraft. These are just too big and I believe contributed to the appalling service. Perhaps familiarity breeds contempt however, whether in business or first, I now view BA aircraft as just being dirty buses in the sky. The food is not much better. However, our flight was distinguished by the smell of poo throughout the journey caused by mothers of babies, changing nappies within the business class cabin, instead of doing it where they should be doing it, in the WC. Try enjoying lunch with a glass of wine with air around permeated by the smell of poo. There must have been three or four babies, having nappies changed regularly in our cabin. I can put up with the screaming because that can’t be helped, but not poo. Cabin crew did nothing about it, despite being asked. I Telephoned BA customer services and ended up speaking to a lady in Manchester BA office who told me that she was BA cabin crew for many years. She told me that changing nappies in the cabin should not be allowed, that it is completely unacceptable and particularly awful while passengers are trying to enjoy a meal. My wife and I are flying first class British Airways again to the USA in April and we also have first class tickets to the USA booked for December. I sent in a complaint to BA customer relations on behalf of all four members of my family who travelled British Airways on December 19 to Miami from LHR and had to put up with the disgusting smells which at times were quite dreadful. I received a response offering a £300 voucher or 30,000 Avios. so, given the cost of four business class flights to Miami from London, British Airways value the loss of enjoyment through travelling in a stinking cabin, at £75 per passenger! Given that I am a gold card holder, an extremely good customer, clearly in the top one percent of all BA customers and a gold cardholder, if that is how they behave with me, God knows how they behave with everybody else. All I can tell you is that flying with Virgin Atlantic when I was a Gold member was highly positive. When our children were young, we used to fly BA first class at times and we would not dream of changing a nappy in the cabin! Not in any cabin! When I complained to British Airways, I asked them if changing of nappies in first class would be allowed during dinner service and they ignored the question. I have numerous business class flights booked with BA over the course of the next 12 months as well as first class flight booked."
“appalling service”,✅ Trip Verified | Worst service ever. Lost baggage because of delayed flight and missed connection and no one is helping to get it back. British Airways website is broken so it doesn’t let me fill missing report and doesn’t give me missing file report number and so no way to contact British Airways because they have dumbest ever AI chatbot.
“Worst service ever”,"✅ Trip Verified |  BA 246 21JAN 2023 Did not appreciate the unprofessional attitude of the pilots. Flight scheduled departure 16:20. Advised boarding time 15:20. Whole flight full of passengers waiting at the gate to board at 15:20. 15:40 the cabin crew board. 15:55 the pilots board - each with a Sao Paulo Airport Duty Free branded shopping bag. 16:20 the flight is still boarding. Finally pushes back just before 17:00, 40 minutes late. Captain came on the intercom to announce the delay was due to 'traffic between the crew hotel and the airport'. Sorry Captain the whole plane saw you and your pilot colleagues board fifteen minutes after the cabin crew clutching your duty free that you and your pilot colleagues still made time to stop for."
Customer Reviews,"✅ Trip Verified | Not a great experience. I could not check in online as two separate parts of the BA computer system do not talk to each other. At LHR a delightful check in clerk sorted it quickly, manually! We boarded on time, but luggage loading had to be halted as the Captain spotted a technical issue and an engineer was called. By the time it was sorted we had missed our slot so took off an hour behind schedule. The flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying BA meant something special. Next time it will be Jet2."
“Next time it will be Jet2”,"Not Verified | I was excited to fly BA as I'd not travelled with them long haul for over 25yrs. I've travelled to Australia on many occasions, so I've pretty much travelled with them all. Terrible was my experience. BA have become the Ryanair of long-haul travel, riding on their previous good name and reputation. We were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. The charging points were outdated and 3 out of 5 didn't work (family of five travelling). The in flight entertainment was also outdated and the movies available were poor compared to other airlines. The food was atrocious - we flew BA LHR-HongKong and return and Cathay HK-Australia return and the comparison was vast. We were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with Cathay. Our luggage was lost for nearly two hours in Hong Kong and when we arrived into London, one of our bags was so badly damaged it was unusable. The only redeeming part was the crew on our return flight were amazing. Severine was an angel and helped make the journey more pleasant for my kids."
“become the Ryanair of long-haul travel”,"Not Verified |  I just want to warn everyone of the worst customer service experience ever! It really looks like British Airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. Last week we called British Airways to make a reservation for the family. At the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from American Express. The representative told us that he could not make the reservation until the miles were in the account, and asked us to contact American Express and make the transfer so that the booking could be made. The conversation was recorded by British Airways and could be checked. We immediately called AMEX (within 30 minutes) and solicited the transfer of 500K miles. AMEX clearly stated to us whether we were sure as the transfer was not reversible. We said that it was fine since we had checked previously with British Airways. We then called British Airways immediately to make our reservation to Miami. They confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to Miami) and that we could not use the miles. We explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. We called the German office, which was absolutely unhelpful, so we also called UK customer service which was just as unhelpful. No manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). In the end British Airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to Miami. With this service to their customers this is a company that should not be in business. Every time we call they made us wait for over 45 minutes then they answer and put us on hold, I have 2 days of waiting and talking with British Airways for over 2 hours each day, we were on the line for over 45 minutes each time. We were told by the lady agent to hang up the phone as I was too long on the phone and she had other customers? And we are not customers? They never help us."
“They never help us”,"Not Verified | Paid for business class travelling Cairo to London Heathrow but all I got was an economy seat. Only difference from economy is middle seat was vacant. Couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. Put in a formal complaint 3 days ago and had no reply. BA's account on X is hacked. Got approached by scammers after posting there and even after flagging this to BA nothing done about it. Just disgusting. Avoid."
“uncomfortable seat and disgusting food”,✅ Trip Verified |  The plane was extremely dirty with chocolate smudged all over mine and my children's seats. I had to wipe down all the seats. After we landed I immediately realized I left my camera with it's bag in the airplane overhead cabin. They would not let me back on the plane for security reasons so I went to The British Airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. Now it's been over 3 weeks with no sign of my camera so it is assumed stolen. I have complained to British Airways and all I get is an automated/generic response to keep checking with Lost Property. Zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.
"""Zero customer service""","Not Verified | Overall journey wasn’t bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). Baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn’t arrived. They raised their hands saying they can’t do anything further. Poor communication and no customer facing skills."
"""baggage arrival nearly took 1.5 hours""","✅ Trip Verified |  Overall very satisfied. Ground staff member at YVR was extremely helpful & courteous. A350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day Y class seat, although the very small washroom was already starting to look a bit shabby. Cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. Choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. Flight departed on time but unfortunately upon landing at LHR we were unable to deplane for quite some time due to a staffing issue at LHR which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck."
"""Overall very satisfied""","✅ Trip Verified |  As always when I fly BA it was a total shambles. I was booked Manchester - London - Madrid , BA first leg and Iberia 2nd, I try wherever possible to avoid BA, however the Manchester - London was late, however I ran for my IB flight and got to B gates just as boarding started, being Group 1 I went to board and the gate sounded an alarm, BA had removed me from the IB flight to a BA flight 3 hours later! As BA had reissued the ticket IB could not put me back on the flight, so 3 hours wasted because of BA’s total incompetence. This airline is a total disgrace, the crew were not nice, typical BA crew oh im so fabulous I don't need to be nice to paying passengers, club europe cramped and terrible food!"
"""airline is a total disgrace""",✅ Trip Verified |  First time using BA business class but we were pleased with the service received. No one was waiting at check in/bag drop and through security in 2 minutes. We used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. Boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. Again food and drinks were plenty full and good quality. Service from the cabin crew was excellent and the cabin manager (Lauren) even made up a birthday card when she found out it was my wife’s special birthday. Departed early and arrived at JFK early as well. The only thing that I disliked was paying £117 each to select our seats and no free wi-fi.
"""we were pleased with the service""","Not Verified |  Extremely rude ground service. We were non-rev flying and London was our connection/layover. Gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” However, when I put it in the sizer, it fit perfectly without force. The plane was not fully booked and had lots of room overhead. The gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. The flight itself was good, attendants were polite and helpful. No complains there. Just extremely unhappy with the gate agent service. I understand that it is not a pleasant job and frankly I would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention."
Customer Reviews,"✅ Trip Verified |  My son and I flew to Geneva last Sunday for a skiing holiday in Les Arc. The flight was cancelled moments prior to boarding and we were transferred to a flight departing three and a half hours later, that then got delayed by a further three hours. They didn't load any food on to the plane and forgot to load the baggage for all the business class passengers who had been on the earlier flight. Problems happen, it's a complex operation. What is totally unacceptable is the service one receives when there is a problem. The offshore call centres are unhelpful and obstructive, wanting to fob off issues by getting the customer to call special help lines that merely refer one to a webpage and then cut off. The web pages are often unable to give information as they are not updated and often refuse to update your inputs 'at this time. please try again later'. There is no access to people that are willing to help, empowered to help, or actually move a situation forwards in any way. We've been sitting in a hotel waiting for the bag to arrive for two and a half days, unable to ski due to our entire wardrobes being in the cases. The outdated luggage 'tracking system', had the suitacase in Geneva 2 days ago, where it sat with no-one willing to step up and get it delivered. What an incredibly heartless and incompetent company."
"""incredibly heartless and incompetent company""","✅ Trip Verified |  For the price paid (bought during a sale) it was a decent experience although the club class (business class) seats offer no more legroom than economy class (using short-haul fleet on a 4 hour flight). Fast track through security was not honoured. The lounge at Istanbul airport was over-crowded as it is also open to the public who can pay for usage, causing a long queue for entry , which was badly organised. Boarding was smooth, cabin crew were friendly but their service was hit-and-miss. Eg. Some people got a “welcome” and some didn’t; Half of the cabin was automatically offered coffee after dinner but not the other half. However, drinks were replenished generously and regularly and the meal was good (with a choice of three mains from the menu)."
"""their service was hit-and-miss""","✅ Trip Verified |  Flight left on time and arrived over half an hour earlier than scheduled (thanks to strong tail winds). The flight was full but no catering had been loaded for economy passenger at Heathrow so for 3 and a half hours we only had a small bottle of water and a small packet of corn snacks. Nothing at all available to even buy to eat! Worse than a low-cost carrier experience in this sense. One of the light panels overhead the seats towards the back of the plan was broken and loose and just hanging above the unfortunate passenger's head for the whole flight (poor maintenance of cabin). I would choose another airline on this route in the future, as one of their competitors offers full meal service on this route even in the economy cabin."
""" Worse than a low-cost carrier""","✅ Trip Verified |  Very Poor Business class product, BA is not even close to the other airline leaders. Which ever way they sell the seat on a 777 it is a 2-4-2 layout. The cabin feels and is very cramped. The food in business class is economy quality just served in a china dish! However, the price of course is at premier levels. The only positive of the whole fight and return were the cabin crew who were fantastic. I felt genuinely sorry for them having to try and flog such a poor product. Would I fly BA business again? only if their were no other options and I had no choice."
"""Very Poor Business class product""","Not Verified | This review is for LHR-SYD-LHR. BA015 and BA016. Business class had a 1-2-1 configuration on 777 giving space, privacy and easy aisle access. Seat reclines into comfortable flat bed. Good quality pillow and duvet. Privacy with sliding door. Good storage space around the seat and charging point. Flights on time - no delays. Gluten free meals were very poor in quality and presentation. Warm processed meat between two bland slices of GF bread apparently is a business class breakfast. On two sectors the main course (no choice offered) was bland fish which was served in a single small tray covered with foil - in business class? Condensation had formed as the dish was reheated (probably from chilled) so the offering was sitting in a weak watery liquid. One crew member appeared genuinely apologetic as they meekly served one meal. Do BA also serve the same GF offering in economy, economy plus and first on a long haul flight? My advice if GF - take your own food or dine in the lounge if you are in the care of BA for 24 hours. My travelling companion had very good regular meals, or so they told me, with a choice of main course on the same flights. Crew gave the impression that they were doing a job covering the basics and rather than welcoming and engaging. Usual hospitality industry waffle about service but little of substance delivered."
“if GF - take your own food”,"✅ Trip Verified | Absolutely pathetic business class product. BA is not even remotely competitive with other International airlines in the business class market. With old outdated 8 across seating - no, I did not make a typing mistake - you either have to climb across someone or someone has to climb across you to gain aisle access. The crew must also hate this layout since they have to reach through little window openings to provide service to passengers in the 2 center seats. BA, like most other European-based airlines does not have a factual Intra-European business class product even though they promote & sell business class. Intra-Europe flights feature the same 3+3 seating throughout the aircraft & the only difference being the middle seat is left empty in ""business class"" & passengers get a meal & drinks, but this does not justify the higher cost. BA's Trans-Atlantic business class product is only slightly better because of the ""narrow"" 8 across seating. The biggest surprise on both the LIS/LHR & LHR/IAH flights was that BA has, in fact, substantially improved their food quality. Shocking! Unfortunately, it is served in the WORST business class configurations of ANY International airline I have flown. The entertainment  system & small screens - my laptop screen is twice the size - is like an airline offering 2 decades ago. The flight crew was ""pleasant & perfunctory"" which is about the best one can expect from a BA crew. BA will simply never match the quality of carriers like Singapore, Emirates, Qatar, Etihad, EVA, ANA, Japan, Air New Zealand, Qantas or many others. BA can compete with US-based airlines like Delta, American & United, which are also not even in the same Universe in terms of a high-quality business class product. One of the biggest slaps in the face is that BA expects business class passengers to pay to select seats, even though they have paid thousands of dollars to fly business class. Several hundred US dollars for Trans-Atlantic flights. Only if you wait until 24 hours before flight time are you allowed to select a seat at no cost. Certainly another BA Management decision that was made without a functioning brain."
“pathetic business class product”,"Not Verified |  Overall not bad. Staff look tired and overworked, trying their best. Weird seats, I was in 21G going, and 21D going home. The buttons to press for the seat recline are so stiff I had to get help on both flights to get them to work. There is another button, also very stiff, to bring the “leg rest” out. This is an awkward thing which doesn’t come up far enough to be of any use at all for your legs, but just obstructs your feet really. Again, I had to get help to activate the very stiff buttons. At one point, the lady next to me was pressing the buttons for me while I tried to recline, sit up, or put the “leg rest” back. We gave up and called the flight attendant, who also had trouble. BA: please give this some maintenance! Food: only one out of three menu choices available by the time it got to me in Premium Ec. It was pasta and was not too bad. A Christmas Turkey Dinner was offered, but why not load more if it is so popular that it is not available 10 minutes into the meal service? “Breakfast” was an unidentified soggy pastry thing in a cardboard tube. It was disgusting, same offered on return journey. A cold pastry and fruit would be so much nicer. The tea and coffee was hot at least. Overall, I would say Air Canada provides a much superior Premium Ec service than BA. I won’t choose BA again."
“Staff look tired and overworked”,"✅ Trip Verified | This was our first flight with British Airways in over 13 years and as usual I couldn’t fault them. As we were connecting, we had little interaction with ground staff - staff in the lounge were friendly and helpful. Cabin crew on the flight were great - very welcoming and friendly. Our meals were delicious & no shortage of drinks being offered. The seats were economy seats with the middle row blocked off and some recline. We arrived into Stockholm a little early through a snow shower which was a nice welcome back to Stockholm. Bags (checked in at JFK) were delivered safely within 20 mins of arriving."
“I couldn’t fault them”,"✅ Trip Verified | I recently encountered a highly disappointing experience with British Airways, specifically regarding their customer service. After my initial flight leg was canceled, I was rebooked with a connection at London Heathrow reduced to a mere 1 hour and 30 minutes. Realizing the impracticality of this, I promptly contacted British Airways within 10 minutes to request a more reasonable layover of 3-4 hours. Shockingly, the customer support representative flatly refused, citing an inability to change my flight. Despite explaining the logistical challenges of a short layover and a terminal change requiring additional security procedures, I received no assistance. To add to the frustration, the representative inaccurately noted on my account that I was presented with multiple options during our conversation. Moreover, the use of military time format and the lack of initial options provided only exacerbated the communication issues. Both phone and email support proved equally incompetent, and I was informed that customer service is outsourced to India, allegedly contributing to the subpar service. This experience has left me not only struggling to rebook my flight but also with a strong resolve to avoid British Airways in the future. The lack of assistance, blame-shifting, and overall incompetence in customer service make it my worst experience yet. I strongly advise others to steer clear of British Airways and their appalling customer service."
“incompetence in customer service”,"Not Verified |  Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!"
Customer Reviews,"✅ Trip Verified |  Check in was chaotic and badly organised. Even though there were two desks, one for premium and one economy, there ended up being just one queue, in front of the premium check in, even though most passengers in it were economy. That meant that those travelling in club or with higher status had no separate queue to join. Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers, unnecessarily badly organised, the staff in charge should be retrained! Security at the airport was very quick and through to the lounge. This is a generic airport lounge for all airlines, and it is actually quite good overall. Nice layout and seating options, reasonable food and drink options, and an outdoor terrace which is really nice. Boarding was very well organised, although quite slow to get everyone on board.. but the flight was probably only half full and we still departed early so I think they felt no rush.. and it actually made the boarding experience nicer and more relaxed. On board the club Europe seats are fine by European business standards, although as previously commented are really not very good overall.. the meal service was disappointing. As is normal, BA do not stock enough of the proper meal option .. when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal. Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad. I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class, rolling some mush (similar consistency to mashed potato) into a sausage shape does not make it a sausage! BA you need to improve the meal options, make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals .. then people will not be left with such a substandard alternative when their first choice runs out! Whilst I hadn’t planned on using it, the on board WiFi was not functioning so was not available to use. Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient. I used avios to pay for the flight so it was obviously good value for money for me!"
"""one of the most disgusting onboard meals""","Not Verified | All 4 of our flights were fine in terms of comfort, punctuality and service. I feel safe with BA and that is my main reason for booking with them even though I could travel with other airlines more directly. On our return flight ATL/LHR we skipped the evening meal preferring to sleep and were looking forward to a hearty breakfast prior to arrival at LHR. Sadly we were seriously disappointed. To serve a chicken sausage in a wrap for a business class breakfast is just unacceptable. Does BA actually pay experts to design these breakfasts? Low point on an otherwise good trip."
“Does BA pay experts to design these breakfasts”,"cNot Verified |  I had hoped this would be a good review but unfortunately it won’t be. I flew business class from LHR to PDX on the BA nonstop. It was a 787–8 series aircraft. The flight attendant specifically mentioned it was eight years old as he recalled flying it when it was brand new. The business class seats were abysmal. My seat was at the window facing backwards. With the divider down, which had to be in that position for boarding, taxi, takeoff and landing, I was literally just a few feet away from the person in the aisle seat who was facing forward, We both couldn’t help but stare at one another. It couldn’t be avoided. It was horrible. The service wasn’t all that good either. The flight attendant did a pre-dinner drink. When she came back to ask for my choice for dinner, she said none of my selection were left. I was a little upset as nothing else appealed to me. She then came back later, and said the other part of the aircraft had more of the meal selection I wanted. I’m not sure why they didn’t coordinate that to begin with. I was NOT offered any wine or other drink with with dinner. The meal was put down in front of me and the flight attendant never came back other than to clear the tray. Overall, this flight was not very good. I flew over on American and back on BA and paid $6000 round-trip. I’d fly American again. My preferred carrier is United or Lufthansa. I’ll never fly BA again."
"""business class seats were abysmal""","✅ Trip Verified |  I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever."
"""Worst service/airline ever""","✅ Trip Verified | Much better experience this time around. Flew CPT to LHR on a new A350. Checkin was efficient. I used the Bidvest lounge at CPT as it is better than BA's lounge. Boarding was speedy. The new business class club suites are very good. Slightly irritating to be directed to the wrong seat (1A instead of 1K) which meant that after settling in the passenger in 1A showed up. We arranged a seat switch. Second time in a row it has happened. Why can't BA staff memorise which side of the plane is which and get it right? Captain's announcement was short and on point. Welcome drink was served at the correct temperature i.e. cold (first time ever for me - previously BA has always served the welcome champagne warm). IFE system was good - everything worked as it should. Felt slightly cheap that business class passengers have to pay for wifi. I did not bother. Cocktail was good. The nuts came on a cheap plastic tray which was naff ... other airlines bring out something classier. A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast. She repeated back to me ""so you want a P and a C"". It was such a bizarre thing to say that I misheard. I thought she said ""so you want beef and sea""? Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying ""P"" for panacotta and ""C"" for chicken. But how bizarre to repeat back an order to a passenger in code. Why not just say, ""so to confirm panacotta to start and chicken as your main dish"", like every other restaurant / airline does in the world? The internal coding of food ordering is exactly that - internal. She even looked irritated at me that I did not understand her jargon first time. The food, when it came, was excellent. Much much better than recent flights. I read somewhere that BA changed caterer. If so, it shows. The panacotta was superb as was the chicken ... good restaurant quality. The wine was OK to good but definitely not good to excellent. I feel that while the food has got better in BA business class, the wines have got worse. Certainly compared to Air France which I have also flown recently. The wine was brought out on time (not afer I finished eating as it was lass time I flew BA business). Cheese was also good and not teeth crackingly cold as last time. I had a good night's sleep. Plenty of snacks out if you wanted them (and they did not run out). Breakfast was excellent and the coffee was hot (previously it has been lukewarm). So all in all a vastly improved service offering. The staff seemed rushed off their feet ... it would not hurt to have an extra flight attendant to look after so many business class seats. Overall summary: vastly improved passenger proposition. It would be 10/10 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes."
“Much better experience this time around”,"✅ Trip Verified | Once again a terrible business class experience with BA. The flight was delayed by 4.5 hours, The plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. Food was terrible as always with BA and only one choice available from advertised menu. As a result of the delay we missed our connecting flight from Heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at Heathrow. At no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. Having flown Etihad, Qatar and Virgin business class equivalents over the last year it is clear to see how big the gulf now is between BA and its rivals."
"“our compensation rights""","✅ Trip Verified |  BA A380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. Cabin crew were good and helpful. Dinner was ok but the breakfast was grim. On board entertainment was not the latest and seat back USB points didn't work. The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there."
"""A380's are showing their age""","✅ Trip Verified |   Credit to BA - Flew to Singapore recently and also back from Doha to London and both experiences were great. Service was fantastic as was the quality of the food, entertainment and was left feeling BA have got it together after a few previous below average experiences. You definitely notice the difference with the staff on BA - Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. Nice one BA for 2 great flights."
